"","Unnamed..0","Proposal.Number","Project.Name","Project.Sector","Date.of.Submission","Submitted.by.Proponent","Query.for.Shortcoming.if.any..by.SEIAA","Resubmission.of.Proposal.by.Proponent.1","Accepted.by.SEIAA.and.forwarded.to.SEAC","Query.for.Shortcoming.if.any..by.SEAC","Resubmission.of.Proposal.by.Proponent.2","Accepted.by.SEAC","Forwarded.to.SEIAA.for.EC","EC.Letter.Uploaded.On.EC.Granted","Status"
"1580",251,"SIA/OR/IND2/72542/2018","LUTHURPANK O.S. SHOP","Industrial Projects - 2","29 Jan 2018","29/01/2018","29/01/2018","","","","","","","","Delisted"
"1581",252,"SIA/OR/IND2/22131/2018","Production of 1.530 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Paikmal Main Out Still Shop at Paikmal, Tahasil- Paikmal, Dist- Bargarh","Industrial Projects - 2","21 Feb 2018","21/02/2018","","","22/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"1582",253,"SIA/OR/MIN/42297/2016","GUDIALI STONE QUARRY","Non-Coal Mining","02 Feb 2016","02/02/2016","30/01/2016","02/02/2016","03/02/2016","","","","","","Delisted"
"1583",254,"SIA/OR/IND2/21816/2018","Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Telenpali Main Out Still Shop at Telenpali, Tehsil- Patnagarh,  Dist- Balangir","Industrial Projects - 2","31 Jan 2018","31/01/2018","","","31/01/2018","","","13/03/2018","28/03/2018","20/04/2018","EC Granted"
"1584",255,"SIA/OR/IND2/21889/2018","PRODUCTION OF 4.050 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, BISAM CUTTACK MAIN O S LIQUOR SHOP AT- BISAM CUTTACK, DIST. RAYAGADA","Industrial Projects - 2","05 Feb 2018","05/02/2018","","","05/02/2018","","","31/03/2018","06/09/2018","07/09/2018","EC Granted"
"1585",256,"SIA/OR/IND2/22648/2018","Malivata O.S. Shop","Industrial Projects - 2","26 Mar 2018","26/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"1586",257,"SIA/OR/MIN/48997/2016","BADADUNDU SAND BED - I","Non-Coal Mining","11 Feb 2016","11/02/2016","","","01/03/2016","","","","","","Delisted"
"1587",258,"SIA/OR/MIN/39116/2016","BAHADJHOLA SAND QUARRY","Non-Coal Mining","09 Jan 2016","09/01/2016","","","13/01/2016","","","","","21/04/2016","EC Granted - Processed offline"
"1588",259,"SIA/OR/IND2/22641/2018","Parkod O.S. Shop","Industrial Projects - 2","26 Mar 2018","26/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"1589",260,"SIA/OR/MIN/34278/2015","Narangpur Stone Quarry","Non-Coal Mining","13 Jan 2016","13/01/2016","07/01/2016","13/01/2016","19/01/2016","","","","","","Delisted"
"1590",261,"SIA/OR/MIN/18637/2017","Kanachhai Stone Quarry","Non-Coal Mining","23 Feb 2017","23/02/2017","","","25/02/2017","","","21/04/2017","10/05/2018","28/05/2018","EC Granted"
"1591",262,"SIA/OR/INFRA2/413593/2023","Multi-storied Residential Apartment & Club House Building ","INFRA-2","24 Jan 2023","14/01/2023","17/01/2023","24/01/2023","25/01/2023","","","04/02/2023","","21/07/2023","EC Granted"
"1592",263,"SIA/OR/MIN/42015/2016","SUNATHAR STONE QUARRY C","Non-Coal Mining","23 Jan 2016","23/01/2016","30/01/2016","","","","","","","","Delisted"
"1593",264,"SIA/OR/MIN/403976/2022","Talab Stone Quarry – 1 (A) over an area of 5.44 acres or 2.20 hectares bearing Khata no. 751, Plot no. 1443(P) in Talab village of Sambalpur Tahasil, District- Sambalpur, State Odisha submitted under cluster approach with total cluster area 12.606 Hectares with consisting of 5 stone quarries.","Non-Coal Mining","21 Oct 2022","21/10/2022","","","25/10/2022","","","29/10/2022","","12/12/2022","EC Granted"
"1594",265,"SIA/OR/INFRA2/401996/2022","Up-gradation of present Air Strip (Private Use) to Air Port (Code 3C) for Commercial Use Under RCS-UDAN scheme of Govt. of India (Expansion Project)","INFRA-2","01 Oct 2022","01/10/2022","","","06/10/2022","","","18/10/2022","","18/10/2022","EC Granted"
"1595",266,"SIA/OR/MIN/34931/2015","SUKHUAPATA HILL STONE QUARRY No. 12","Non-Coal Mining","19 Dec 2015","19/12/2015","","","08/01/2016","","","","","","Delisted"
"1596",267,"SIA/OR/IND2/22550/2018","Katapali Out Still Shop","Industrial Projects - 2","21 Mar 2018","21/03/2018","","","26/03/2018","","","07/05/2018","07/07/2018","28/07/2018","EC Granted"
"1597",268,"SIA/OR/MIN/404581/2022","For the grant of EC of Chandnimal Stone Quarry-D (Khata No-122, Plot No-988) over an area of 2.529 Ha. or 6.25 Acres at village Chandnimal under Jharsuguda Tahasil of Jharsuguda district, Odisha. ","Non-Coal Mining","20 Dec 2022","29/10/2022","23/12/2022","20/12/2022","","","","","","","Query raised by SEIAA and pending at PP"
"1598",269,"SIA/OR/IND2/22731/2018","Rajamara O.S. Shop","Industrial Projects - 2","28 Mar 2018","28/03/2018","","","28/03/2018","","","08/05/2018","13/07/2018","28/07/2018","EC Granted"
"1599",270,"SIA/OR/IND2/21901/2018","1080 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED DADPUR OS SHOP","Industrial Projects - 2","05 Feb 2018","05/02/2018","","","06/02/2018","","","31/03/2018","08/05/2018","01/06/2018","EC Granted"
"1600",271,"SIA/OR/NCP/75805/2018","Proposed Expansion for Construction of Housing Colony and Convenient Shopping (Phase-III) of M/s Z-Estates Pvt. Ltd. at Kalarahanga, Bhubaneswar, Odisha","INFRA-1","13 Jul 2018","13/07/2018","13/07/2018","","","","","","","","Delisted"
"1601",272,"SIA/OR/IND2/26095/2018","AMBAPALASH OUT STILL LIQUOR MAIN SHOP","Industrial Projects - 2","24 May 2018","24/05/2018","","","24/05/2018","","","13/06/2018","08/08/2018","31/08/2018","EC Granted"
"1602",273,"SIA/OR/MIN/411645/2022","Kurlamunda Stone Quarry","Non-Coal Mining","28 Dec 2022","22/12/2022","23/12/2022","28/12/2022","01/01/2023","","28/12/2022","10/01/2023","","21/02/2023","EC Granted"
"1603",274,"SIA/OR/MIN/403437/2022","Chandiposhi Iron Ore Block","Non-Coal Mining","27 Oct 2022","17/10/2022","27/10/2022","27/10/2022","27/10/2022","","","29/10/2022","","31/05/2023","EC Granted"
"1604",275,"SIA/OR/IND2/22713/2018","Salebhata O.S. Shop","Industrial Projects - 2","27 Mar 2018","27/03/2018","","","28/03/2018","","","07/05/2018","13/07/2018","27/07/2018","EC Granted"
"1605",276,"SIA/OR/MIN/50538/2016","Ghumula Sand Bed","Non-Coal Mining","26 Feb 2016","26/02/2016","02/03/2016","","","","","","","","Delisted"
"1606",277,"SIA/OR/IND2/23166/2018","Ballam O S Shop","Industrial Projects - 2","31 Mar 2018","31/03/2018","","","31/03/2018","","","08/05/2018","19/05/2018","07/06/2018","EC Granted"
"1607",278,"SIA/OR/IND2/21928/2018","Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit , Mohangiri Main Out Still Shop at Mohangiri, Tehsil- M.Rampur,  Dist-Kalahandi","Industrial Projects - 2","08 Feb 2018","08/02/2018","","","08/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"1608",279,"SIA/OR/IND2/72547/2018","ULLUNDA O.S. SHOP","Industrial Projects - 2","29 Jan 2018","29/01/2018","29/01/2018","","","","","","","","Delisted"
"1609",280,"SIA/OR/IND2/21645/2018","Proposed Production of 1.62 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Bhutiarbahal Main Out Still Shop at Bhutiarbahal, Tahasil- Balangir, PS-Tusara, Dist- Balangir","Industrial Projects - 2","15 Jan 2018","15/01/2018","","","20/01/2018","","","13/03/2018","09/04/2018","14/05/2018","EC Granted"
"1610",281,"SIA/OR/MIN/49710/2016","Chandania Stone Quarry over an area of 4.245 Ha under Kukudakhandi Tahsil of Ganjam District Odisha","Non-Coal Mining","16 Feb 2016","16/02/2016","02/03/2016","","","","","","","","Delisted"
"1611",282,"SIA/OR/MIN/72108/2018","Kandarsing Sand Quarry","Non-Coal Mining","29 Jan 2018","29/01/2018","30/01/2018","29/01/2018","","","","","","","Delisted"
"1612",283,"SIA/OR/MIN/53954/2016","Dhunkapada Stone Quarry over an area of 7.27 ha in Polsara Tahsil Ganjam District Of Odisha","Non-Coal Mining","20 May 2016","20/05/2016","09/06/2016","","","","","","","","Delisted"
"1613",284,"SIA/OR/MIN/74669/2018","Kamagaon Sand Bed","Non-Coal Mining","25 Apr 2018","25/04/2018","20/04/2018","25/04/2018","27/04/2018","","","05/06/2018","13/06/2018","30/06/2018","EC Granted"
"1614",285,"SIA/OR/MIN/50958/2016","Kapilash Sand Quarry over an area of 5.518 ha in village Kapilash, Tahasil- Dharakote in Ganjam district of Odisha","Non-Coal Mining","03 Mar 2016","03/03/2016","","","03/03/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1615",286,"SIA/OR/IND2/20883/2017","1788 Litres per day Mahua flower based country Liquor Manufacturing unit of Podamari Main Out Still Liquor shop at- Podamari Dist- Ganjam.","Industrial Projects - 2","14 Nov 2017","14/11/2017","","","15/11/2017","","","23/12/2017","20/01/2018","20/04/2018","EC Granted"
"1616",287,"SIA/OR/IND2/22046/2018","Production of 0.888 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Amthi Main Out Still Shop at Amthi, Tahasil- Jharbandh, Dist- Bargarh","Industrial Projects - 2","21 Feb 2018","21/02/2018","","","22/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"1617",288,"SIA/OR/MIN/60363/2016","BALANGA SAND BED,MAHUPURA","Non-Coal Mining","11 Nov 2016","11/11/2016","","","17/11/2016","","","07/01/2017","07/01/2017","04/02/2017","EC Granted"
"1618",289,"SIA/OR/MIN/50814/2016","Kurulu Nadi Sand Bed Over lease area of 5.135 ha/12.724 acres located at Village- Heruguda & Kadalimunda, Tahasil- Kundra, District- Koraput","Non-Coal Mining","16 Mar 2016","16/03/2016","15/03/2016","16/03/2016","16/03/2016","","","07/12/2016","07/12/2016","29/04/2017","EC Granted"
"1619",290,"SIA/OR/MIN/49868/2016","Balanda Stone Quarry","Non-Coal Mining","17 Feb 2016","17/02/2016","02/03/2016","","","","","","","","Delisted"
"1620",291,"SIA/OR/MIN/416435/2023","Proposal for Fresh Environmental Clearance of Bhutiarbahal Stone Quarry-B over an area of 3.00 Acres or 1.214 Hectares in village Bhutiarbahal under Balangir tahasil of Balangir district.","Non-Coal Mining","25 Apr 2023","31/01/2023","15/04/2023","25/04/2023","29/04/2023","","","26/06/2023","","","Deferred by SEAC"
"1621",292,"SIA/OR/IND2/25750/2018","HATADIHI OS SHOP","Industrial Projects - 2","20 Apr 2018","20/04/2018","","","23/04/2018","","","05/06/2018","08/08/2018","31/08/2018","EC Granted"
"1622",293,"SIA/OR/IND2/23221/2018","1080 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED TARAPUR MAIN  O S SHOP","Industrial Projects - 2","31 Mar 2018","31/03/2018","","","04/04/2018","","","08/05/2018","23/05/2018","07/06/2018","EC Granted"
"1623",294,"SIA/OR/MIN/75778/2018","Luhasingha Sand Quarry","Non-Coal Mining","12 Jul 2018","12/07/2018","12/07/2018","12/07/2018","13/07/2018","","","06/09/2018","","","Rejected - Processed offline"
"1624",295,"SIA/OR/MIN/417472/2023","PANKALABADI - B SAND QUARRY, OVER AN AREA OF 12.682ACRE./5.132HA. AT VILLAGE - PANKALABADI, TAHASIL - DHARAKOTE, DISTRICT-GANJAM, ODISHA","Non-Coal Mining","27 Mar 2023","10/02/2023","27/03/2023","27/03/2023","28/03/2023","","","15/04/2023","","07/11/2023","EC Granted"
"1625",296,"SIA/OR/MIN/50051/2016","MAHUPLUT DECORATIVE STONE MINE","Non-Coal Mining","20 Feb 2016","20/02/2016","","","02/03/2016","","","","","13/07/2017","EC Granted - Processed offline"
"1626",297,"SIA/OR/MIN/49908/2016","Sana Surada Sand Quarry","Non-Coal Mining","05 Mar 2016","05/03/2016","03/03/2016","05/03/2016","10/03/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1627",298,"SIA/OR/MIN/63806/2017","BANGIRIPOSI SAND QUARRY","Non-Coal Mining","12 Apr 2017","12/04/2017","10/04/2017","12/04/2017","18/04/2017","","","24/05/2017","27/05/2017","13/07/2017","EC Granted"
"1628",299,"SIA/OR/MIN/423260/2023","proposal for fresh EC of Sandhaguda Stone Quarry over an area of 2.00 Acres or 0.809 Ha having Khata No.21, plot No.65/70 in village sandhaguda under jeypor Tahasil of Koraput District,Odisha. ","Non-Coal Mining","24 Mar 2023","24/03/2023","","","12/04/2023","","","20/05/2023","","14/07/2023","EC Granted"
"1629",300,"SIA/OR/IND2/25506/2018","PRODUCTION OF 0.810 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, KATINGPADAR MAIN O S LIQUOR SHOP AT KATINGPADAR, DIST. KALAHANDI","Industrial Projects - 2","14 Apr 2018","14/04/2018","","","17/04/2018","","","05/06/2018","03/07/2018","26/07/2018","EC Granted"
"1630",301,"SIA/OR/MIN/69671/2017","BALANGA SAND BED","Non-Coal Mining","20 Sep 2017","20/09/2017","","","25/09/2017","","","27/10/2017","08/11/2017","","Delisted"
"1631",302,"SIA/OR/MIN/60762/2016","Singipur Sand Mines","Non-Coal Mining","30 Nov 2016","30/11/2016","","","05/12/2016","","","09/01/2017","","","Delisted"
"1632",303,"SIA/OR/MIN/70433/2017","KARAKHANDI SAND QUARRY","Non-Coal Mining","22 Oct 2017","22/10/2017","","","24/10/2017","","","14/12/2017","19/12/2017","04/01/2018","EC Granted"
"1633",304,"SIA/OR/MIN/72104/2018","RUDRAPUR SAND QUARRY","Non-Coal Mining","06 Jan 2018","06/01/2018","","","09/01/2018","","","13/02/2018","20/02/2018","27/02/2018","EC Granted"
"1634",305,"SIA/OR/MIN/408324/2022","Motigam Stone Quarry - II over an area of 1.00 acres or 0.404 hectares bearing Khata no. 654, Plot no. 5262, in Village Motigam, Tahasil Kodinga, District Nabarangpur State Odisha. ","Non-Coal Mining","07 Dec 2022","07/12/2022","","","06/01/2023","","","10/01/2023","","","ADS by SEAC"
"1635",306,"SIA/OR/IND2/23265/2018","PRODUCTION OF 0.540 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, NARAYAN PRASAD MAIN O S LIQUOR SHOP AT NARAYAN PRASAD, DIST. - BOUDH","Industrial Projects - 2","01 Apr 2018","01/04/2018","","","07/04/2018","","","13/06/2018","03/07/2018","21/07/2018","EC Granted"
"1636",307,"SIA/OR/IND2/29635/2018","PRODUCTION OF 2.064 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, GANGAPUR MAIN O S LIQUOR SHOP AT-MUDULIPALLI, BHANJANAGAR, DIST. - GANJAM","Industrial Projects - 2","30 Oct 2018","30/10/2018","","","17/11/2018","","","24/11/2018","11/12/2018","20/12/2018","EC Granted"
"1637",308,"SIA/OR/NCP/86475/2018","ISPAT POST GRADUATE INSTITUTE 
&
 SUPER SPECIALTY HOSPITAL 
At : Sector-19, Rourkela, Sundargarh ,Odisha
","INFRA-1","09 Jan 2019","09/01/2019","09/01/2019","09/01/2019","","","","","","","Delisted"
"1638",309,"SIA/OR/MIN/50419/2016","Kharasrota River Sand Argal Quarry","Non-Coal Mining","07 Mar 2016","07/03/2016","02/03/2016","07/03/2016","10/03/2016","","","","","26/04/2016","EC Granted - Processed offline"
"1639",310,"SIA/OR/IND2/21905/2018","540 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED SAGADA OS SHOP","Industrial Projects - 2","12 Feb 2018","12/02/2018","","","20/02/2018","","","13/03/2018","03/04/2018","09/05/2018","EC Granted"
"1640",311,"SIA/OR/MIN/406935/2022","Bamdevpur Sand Quarry(Baitarani River) over an area of 2.50AC or 1.011 Ha under Dasarathpur Tahasil of Jajpur District, Odisha","Non-Coal Mining","17 Nov 2022","17/11/2022","17/12/2022","21/01/2023","10/04/2023","","","20/05/2023","","04/10/2023","EC Granted"
"1641",312,"SIA/OR/MIN/416778/2023","Alliabad Sand Quarry over an area of 12.50 acres or 5.058 Ha. bearing Khata no.610, Plot No.328/1310 in village Alliabad, Tahasil- Ganjam, District Ganjam","Non-Coal Mining","21 Feb 2023","02/02/2023","10/02/2023","10/02/2023","04/02/2023","","21/02/2023","22/02/2023","","04/10/2023","EC Granted"
"1642",313,"SIA/OR/MIN/80901/2018","Basenpali Stone Quarry","Non-Coal Mining","01 Oct 2018","01/10/2018","05/10/2018","","","","","","","","Delisted"
"1643",314,"SIA/OR/MIN/42356/2016","Banapur Sand Quarry Over lease area of 13 acres/5.261 ha located at Village- Banapur, Tahasil- Mahanga, District- Cuttack","Non-Coal Mining","26 Jan 2016","26/01/2016","","","30/01/2016","","","","","21/04/2016","EC Granted - Processed offline"
"1644",315,"SIA/OR/MIN/73560/2018","BANGANGAON STONE QUARRY","Non-Coal Mining","19 Mar 2018","19/03/2018","","","23/03/2018","","","","","","Delisted"
"1645",316,"SIA/OR/MIN/41120/2016","RAIPADA STONE QUARRY","Non-Coal Mining","16 Jan 2016","16/01/2016","","","27/01/2016","","","","","","Delisted"
"1646",317,"SIA/OR/MIN/41294/2016","Chandania Road Metal Quarry Over lease area of 11.00 acre/4.451 ha located at Village- Chandania , Tahasil- Kukudakhandi, District- Ganjam

","Non-Coal Mining","18 Jan 2016","18/01/2016","","","27/01/2016","","","","","","Delisted"
"1647",318,"SIA/OR/IND2/21779/2018","1350 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED MASANIBANDHA OS SHOP","Industrial Projects - 2","27 Jan 2018","27/01/2018","","","30/01/2018","","","13/03/2018","28/03/2018","20/04/2018","EC Granted"
"1648",319,"SIA/OR/IND2/23313/2018","Bahialisahi (Kosala) O.S. Shop of Sri Pranab Kumar Behera","Industrial Projects - 2","02 Apr 2018","02/04/2018","","","07/04/2018","","","08/05/2018","23/05/2018","07/06/2018","EC Granted"
"1649",320,"SIA/OR/MIN/21544/2014","Kakudi and Kishoripal Sand Mine","Non-Coal Mining","07 Aug 2020","31/07/2020","06/08/2020","07/08/2020","18/08/2020","","","28/08/2020","16/08/2021","24/09/2021","Query raised by SEIAA and pending at PP"
"1650",320,"SIA/OR/MIN/21544/2014","Kakudi and Kishoripal Sand Mine","Non-Coal Mining","07 Aug 2020","31/07/2020","06/08/2020","07/08/2020","18/08/2020","","","28/08/2020","16/08/2021","24/09/2021","EC Granted"
"1651",321,"SIA/OR/MIN/41506/2016","Dankari BSQ No-6/11 Stone Quarry Over lease area of 7.00 acre/2.833 ha located at Village- Dankari, Tahasil- Dharmasala, District- Jajpur","Non-Coal Mining","19 Jan 2016","19/01/2016","","","28/01/2016","","","","","","Delisted"
"1652",322,"SIA/OR/NCP/59528/2016","Expansion of Apollo Hospital from 300 Beds to 350 Beds","INFRA-1","07 Oct 2016","07/10/2016","","","18/10/2016","30/12/2016","27/02/2017","03/03/2017","03/03/2017","17/03/2017","EC Granted"
"1653",323,"SIA/OR/IND2/408307/2022","Production of 2.16 KLD Mahua Flower Based Out Still Liquor Shop manufacturing unit of M/s Main Out Still Liquor Shop, Papadahandi at/mouza/Tahasil- Papadahandi, Dist.- Nabarangapur of the Licensee Sri Nalanikanta Mohanty.","Industrial Projects - 2","03 Dec 2022","03/12/2022","","","06/12/2022","","","02/01/2023","","20/01/2023","EC Granted"
"1654",324,"SIA/OR/MIN/50553/2016","Tangasole Stone Quarry","Non-Coal Mining","26 Feb 2016","26/02/2016","02/03/2016","","","","","","","","Delisted"
"1655",325,"SIA/OR/MIN/19524/2017","Manikpur Mining Lease of M/s Manikeswari Minerals","Non-Coal Mining","12 Jun 2017","12/06/2017","","","13/06/2017","","","10/07/2017","28/04/2018","06/06/2018","Delisted"
"1656",326,"SIA/OR/MIN/37952/2016","Khanjamahal Stone Quarry-69 Over lease area of 1.00 acre/0.405 ha located at Village- Khanjamahal, Tahasil- Soro, District- Balasore. 

","Non-Coal Mining","03 Jan 2016","03/01/2016","","","10/01/2016","","","","","","Delisted"
"1657",327,"SIA/OR/MIN/41125/2016","PURUNAPANI STONE QUARRY NO-II","Non-Coal Mining","16 Jan 2016","16/01/2016","","","27/01/2016","","","","","","Delisted"
"1658",328,"SIA/OR/IND2/26192/2018","Dhanaghara O.S. Shop","Industrial Projects - 2","22 May 2018","22/05/2018","","","24/05/2018","","","13/06/2018","03/07/2018","28/07/2018","EC Granted"
"1659",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1660",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","EC Granted"
"1661",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","EC Granted"
"1662",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1663",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1664",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1665",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","WithdrawEC"
"1666",329,"SIA/OR/MIN/63923/2021","Padampuri Stone Quarry 3","Non-Coal Mining","14 Aug 2022","06/07/2022","","","","","","","","17/01/2023","EC Granted"
"1667",330,"SIA/OR/MIN/282992/2022","Proposal for grant of Environmental Clearance for Gadiajore Stone Quarry I over an area of 12.30 Acres or 4.977 Hectares in village Gadiajore under Dharmagarh tahasil of Kalahandi district.","Non-Coal Mining","12 Jul 2022","12/07/2022","","","18/07/2022","","","22/07/2022","","22/08/2022","EC Granted"
"1668",331,"SIA/OR/MIN/253435/2022","SUNDARADA BIRA CHAITANYAPUR RIVER SABD BED, OVER AN AREA OF 5.00 Ha.KHATA NO: 223, PLOT NO: 1059, AT: SUNDARADA BIRA CHAITANYAPUR, TAHASIL: CHIKITI, DIST: GANJAM, ODISHA OF TAHASILDAR CHIKITI.","Non-Coal Mining","26 Jan 2022","26/01/2022","","","29/01/2022","","","07/02/2022","07/02/2022","30/07/2022","EC Granted"
