"","Proposal.No.","File.No.","Project.Name","Company","Proposal.Status","Project.Type","View"
"1403","SIA/OR/MIN/18637/2017","18637/1804-NCM/02-2017","Kanachhai Stone Quarry","SANTOSH KUMAR DASH","EC Granted","EC",NA
"1404","SIA/OR/INFRA2/413593/2023","413593/104-INFRA2/01-2023","Multi-storied Residential Apartment & Club House Building","PALTRONICS ALLIED INDUSTRIES PRIVATE LIMITED","Deferred by SEIAA","EC",NA
"1405","SIA/OR/MIN/42015/2016","","SUNATHAR STONE QUARRY C","AMC PVT LTD","Delisted","EC",NA
"1406","SIA/OR/MIN/403976/2022","403976/811-MINB2/10-2022","Talab Stone Quarry – 1 (A) over an area of 5.44 acres or 2.20 hectares bearing Khata no. 751, Plot no. 1443(P) in Talab village of Sambalpur Tahasil, District- Sambalpur, State Odisha submitted under cluster approach with total cluster area 12.606 Hectares with consisting of 5 stone quarries.","NEERAJ AGRAWAL","EC Granted","EC",NA
"1407","SIA/OR/INFRA2/401996/2022","401996/01-INFRA2/10-2022","Up-gradation of present Air Strip (Private Use) to Air Port (Code 3C) for Commercial Use Under RCS-UDAN scheme of Govt. of India (Expansion Project)","SAIL ROURKELA STEEL PLANT","EC Granted","EC",NA
"1408","SIA/OR/MIN/34931/2015","SEIAA/34931/931-NCM/12-2015","SUKHUAPATA HILL STONE QUARRY No. 12","GYANA RANJAN DAS","Delisted","EC",NA
"1409","SIA/OR/IND2/22550/2018","22550/241-IND2/03-2018","Katapali Out Still Shop","SUNILKUMAR","EC Granted","EC",NA
"1410","SIA/OR/MIN/404581/2022","","For the grant of EC of Chandnimal Stone Quarry-D (Khata No-122, Plot No-988) over an area of 2.529 Ha. or 6.25 Acres at village Chandnimal under Jharsuguda Tahasil of Jharsuguda district, Odisha.","BASANT HATI","Pending at PP due to eds","EC",NA
"1411","SIA/OR/IND2/22731/2018","22731/307-IND2/03-2018","Rajamara O.S. Shop","BINOD KUMAR GUPTA &  ANANT KUMAR GUPTA","EC Granted","EC",NA
"1412","SIA/OR/IND2/21901/2018","21901/144-IND2/02-2018","1080 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED DADPUR OS SHOP","LAXMI NARAYAN MANMOHNLAL","EC Granted","EC",NA
"1413","SIA/OR/NCP/75805/2018","","Proposed Expansion for Construction of Housing Colony and Convenient Shopping (Phase-III) of M/s Z-Estates Pvt. Ltd. at Kalarahanga, Bhubaneswar, Odisha","Z ESTATE PRIVATE LIMTED","Delisted","EC",NA
"1414","SIA/OR/IND2/26095/2018","26095/434-IND2/05-2018","AMBAPALASH OUT STILL LIQUOR MAIN SHOP","PRAKASH KUMAR SAHOO","EC Granted","EC",NA
"1415","SIA/OR/MIN/411645/2022","411645/845-MINB2/12-2022","Kurlamunda Stone Quarry","DILIP NANDA","EC Granted","EC",NA
"1416","SIA/OR/MIN/403437/2022","403437/765-MINB1/10-2022","Chandiposhi Iron Ore Block","RUNGTA MINES LTD","Delisted","EC",NA
"1417","SIA/OR/IND2/22713/2018","22713/294-IND2/03-2018","Salebhata O.S. Shop","ANIL KUMAR SAHU AND RAM MURTY PRASAD","EC Granted","EC",NA
"1418","SIA/OR/MIN/50538/2016","","Ghumula Sand Bed","SATYABRATA MANDAL","Delisted","EC",NA
"1419","SIA/OR/IND2/23166/2018","23166/324-IND2/03-2018","Ballam O S Shop","SRI RABISANKAR SAHU","EC Granted","EC",NA
"1420","SIA/OR/IND2/21928/2018","21928/169-IND2/02-2018","Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit , Mohangiri Main Out Still Shop at Mohangiri, Tehsil- M.Rampur,  Dist-Kalahandi","AMAN RAJ","EC Granted","EC",NA
"1421","SIA/OR/IND2/72547/2018","","ULLUNDA O.S. SHOP","SARJAN SAHU","Delisted","EC",NA
"1422","SIA/OR/IND2/21645/2018","21645/87-IND2/01-2018","Proposed Production of 1.62 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Bhutiarbahal Main Out Still Shop at Bhutiarbahal, Tahasil- Balangir, PS-Tusara, Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1423","SIA/OR/MIN/49710/2016","","Chandania Stone Quarry over an area of 4.245 Ha under Kukudakhandi Tahsil of Ganjam District Odisha","NARESH CHANDRA DAS","Delisted","EC",NA
"1424","SIA/OR/MIN/72108/2018","","Kandarsing Sand Quarry","ENVIRTA","Delisted","EC",NA
"1425","SIA/OR/MIN/53954/2016","","Dhunkapada Stone Quarry over an area of 7.27 ha in Polsara Tahsil Ganjam District Of Odisha","LAXMI BHUYAN","Delisted","EC",NA
"1426","SIA/OR/MIN/74669/2018","74669/1977-NCM/04-2018","Kamagaon Sand Bed","SANKARA PODH","EC Granted","EC",NA
"1427","SIA/OR/MIN/50958/2016","50958/1501-NCM/03-2016","Kapilash Sand Quarry over an area of 5.518 ha in village Kapilash, Tahasil- Dharakote in Ganjam district of Odisha","CHIRANJIBI DASH","EC Granted - Processed offline","EC",NA
"1428","SIA/OR/IND2/20883/2017","20883/61-IND2/11-2017","1788 Litres per day Mahua flower based country Liquor Manufacturing unit of Podamari Main Out Still Liquor shop at- Podamari Dist- Ganjam.","TRINATH SAHU","EC Granted","EC",NA
"1429","SIA/OR/IND2/22046/2018","22046/173-IND2/02-2018","Production of 0.888 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Amthi Main Out Still Shop at Amthi, Tahasil- Jharbandh, Dist- Bargarh","PRABHASH KUMAR SAHU","EC Granted","EC",NA
"1430","SIA/OR/MIN/60363/2016","60363/1738-NCM/11-2016","BALANGA SAND BED,MAHUPURA","KRUPASINDHU SINGH","EC Granted","EC",NA
"1431","SIA/OR/MIN/50814/2016","50814/1545-NCM/03-2016","Kurulu Nadi Sand Bed Over lease area of 5.135 ha/12.724 acres located at Village- Heruguda & Kadalimunda, Tahasil- Kundra, District- Koraput","NARENDRAA KUMAR PRADHAN","EC Granted","EC",NA
"1432","SIA/OR/MIN/49868/2016","","Balanda Stone Quarry","PRASAD KUMAR SAHOO","Delisted","EC",NA
"1433","SIA/OR/MIN/416435/2023","416435/920-MINB2/04-2023","Proposal for Fresh Environmental Clearance of Bhutiarbahal Stone Quarry-B over an area of 3.00 Acres or 1.214 Hectares in village Bhutiarbahal under Balangir tahasil of Balangir district.","NIRAJ AGRAWAL","Under examination of SEAC","EC",NA
"1434","SIA/OR/IND2/25750/2018","25750/383-IND2/04-2018","HATADIHI OS SHOP","INDUDEVI GUPTA","EC Granted","EC",NA
"1435","SIA/OR/IND2/23221/2018","23221/335-IND2/03-2018","1080 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED TARAPUR MAIN  O S SHOP","LAXMI NARAYAN MANMOHNLAL","EC Granted","EC",NA
"1436","SIA/OR/MIN/75778/2018","75778/2002-NCM/07-2018","Luhasingha Sand Quarry","TIKAM CHAND NAYAK","Rejected - Processed offline","EC",NA
"1437","SIA/OR/MIN/417472/2023","417472/322-MINB1/03-2023","PANKALABADI - B SAND QUARRY, OVER AN AREA OF 12.682ACRE./5.132HA. AT VILLAGE - PANKALABADI, TAHASIL - DHARAKOTE, DISTRICT-GANJAM, ODISHA","KRUPA MUDULI","ADS by SEAC","EC",NA
"1438","SIA/OR/MIN/50051/2016","50051/1499-NCM/02-2016","MAHUPLUT DECORATIVE STONE MINE","AM SANKAR","EC Granted - Processed offline","EC",NA
"1439","SIA/OR/MIN/49908/2016","49908/1505-NCM/03-2016","Sana Surada Sand Quarry","BABU SAHU","EC Granted - Processed offline","EC",NA
"1440","SIA/OR/MIN/63806/2017","63806/1833-NCM/04-2017","BANGIRIPOSI SAND QUARRY","TAHASILDAR SUKRULI MAYURBHANJ","EC Granted","EC",NA
"1441","SIA/OR/MIN/423260/2023","423260/894-MINB2/03-2023","proposal for fresh EC of Sandhaguda Stone Quarry over an area of 2.00 Acres or 0.809 Ha having Khata No.21, plot No.65/70 in village sandhaguda under jeypor Tahasil of Koraput District,Odisha.","TAHASILDAR, JEYPORE","Under examination of SEAC","EC",NA
"1442","SIA/OR/IND2/25506/2018","25506/377-IND2/04-2018","PRODUCTION OF 0.810 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, KATINGPADAR MAIN O S LIQUOR SHOP AT KATINGPADAR, DIST. KALAHANDI","SHYAM PRASAD SAHU","EC Granted","EC",NA
"1443","SIA/OR/MIN/69671/2017","69671/1910-NCM/09-2017","BALANGA SAND BED","JAYAPRAKASH KHANDALWAL","Delisted","EC",NA
"1444","SIA/OR/MIN/60762/2016","60762/1750-NCM/11-2016","Singipur Sand Mines","SRI BALLA MOHAN RAO","Delisted","EC",NA
"1445","SIA/OR/MIN/70433/2017","70433/1920-NCM/10-2017","KARAKHANDI SAND QUARRY","SRI LAXMAN PRADHAN","EC Granted","EC",NA
"1446","SIA/OR/MIN/72104/2018","72104/1945-NCM/01-2018","RUDRAPUR SAND QUARRY","AJIT KUMAR SINGH","EC Granted","EC",NA
"1447","SIA/OR/MIN/408324/2022","408324/849-MINB2/12-2022","Motigam Stone Quarry - II over an area of 1.00 acres or 0.404 hectares bearing Khata no. 654, Plot no. 5262, in Village Motigam, Tahasil Kodinga, District Nabarangpur State Odisha.","TAHASILDAR KODINGA","Delisted","EC",NA
"1448","SIA/OR/IND2/23265/2018","23265/344-IND2/04-2018","PRODUCTION OF 0.540 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, NARAYAN PRASAD MAIN O S LIQUOR SHOP AT NARAYAN PRASAD, DIST. - BOUDH","MR KARUNAKR SAHU","EC Granted","EC",NA
"1449","SIA/OR/IND2/29635/2018","29635/565-IND2/10-2018","PRODUCTION OF 2.064 KLD MAHUA FLOWER BASED COUNTRY LIQUOR MANUFACTURE UNIT, GANGAPUR MAIN O S LIQUOR SHOP AT-MUDULIPALLI, BHANJANAGAR, DIST. - GANJAM","SANJAYA PRASAD","EC Granted","EC",NA
"1450","SIA/OR/NCP/86475/2018","","ISPAT POST GRADUATE INSTITUTE 
&
 SUPER SPECIALTY HOSPITAL 
At : Sector-19, Rourkela, Sundargarh ,Odisha","STEEL AUTHORITY OF INDIA LIMITED","Delisted","EC",NA
"1451","SIA/OR/MIN/50419/2016","50419/1509-NCM/03-2016","Kharasrota River Sand Argal Quarry","NIRANJAN SENAPATI","EC Granted - Processed offline","EC",NA
"1452","SIA/OR/IND2/21905/2018","21905/171-IND2/02-2018","540 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED SAGADA OS SHOP","LAXMI NARAYAN MANMOHNLAL","EC Granted","EC",NA
"1453","SIA/OR/MIN/406935/2022","406935/441-MINB2/11-2022","Bamdevpur Sand Quarry(Baitarani River) over an area of 2.50AC or 1.011 Ha under Dasarathpur Tahasil of Jajpur District, Odisha","SRIBASH JENA","Under examination of SEAC","EC",NA
"1454","SIA/OR/MIN/416778/2023","416778/317-MINB1/02-2023","Alliabad Sand Quarry over an area of 12.50 acres or 5.058 Ha. bearing Khata no.610, Plot No.328/1310 in village Alliabad, Tahasil- Ganjam, District Ganjam","KRUPA MUDULI","ADS by SEAC","EC",NA
"1455","SIA/OR/MIN/80901/2018","","Basenpali Stone Quarry","MS SHREE BALAJI ENGICONS PVT LTD","Delisted","EC",NA
"1456","SIA/OR/MIN/42356/2016","42356/1286-NCM/01-2016","Banapur Sand Quarry Over lease area of 13 acres/5.261 ha located at Village- Banapur, Tahasil- Mahanga, District- Cuttack","ANJAN KUMAR MISHRA","EC Granted - Processed offline","EC",NA
"1457","SIA/OR/MIN/73560/2018","73560/1968-NCM/03-2018","BANGANGAON STONE QUARRY","RABINDRA PANIGRAHI","Delisted","EC",NA
"1458","SIA/OR/MIN/41120/2016","41120/1162-NCM/01-2016","RAIPADA STONE QUARRY","BIMAL KUMAR SWAIN","Delisted","EC",NA
"1459","SIA/OR/MIN/41294/2016","41294/1201-NCM/01-2016","Chandania Road Metal Quarry Over lease area of 11.00 acre/4.451 ha located at Village- Chandania , Tahasil- Kukudakhandi, District- Ganjam","PRAMOD KUMAR DASH","Delisted","EC",NA
"1460","SIA/OR/IND2/21779/2018","21779/110-IND2/01-2018","1350 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED MASANIBANDHA OS SHOP","DURGA PRASAD SAHU","EC Granted","EC",NA
"1461","SIA/OR/IND2/23313/2018","23313/356-IND2/04-2018","Bahialisahi (Kosala) O.S. Shop of Sri Pranab Kumar Behera","PRANAB KUMAR BEHERA","EC Granted","EC",NA
"1462","SIA/OR/MIN/21544/2014","","Kakudi & Kishoripal Sand Mine","Mahanadi Coalfields Limited","Pending at PP due to eds","EC",NA
"1463","SIA/OR/MIN/41506/2016","41506/1221-NCM/01-2016","Dankari BSQ No-6/11 Stone Quarry Over lease area of 7.00 acre/2.833 ha located at Village- Dankari, Tahasil- Dharmasala, District- Jajpur","MAHENDRA SWAIN","Delisted","EC",NA
"1464","SIA/OR/NCP/59528/2016","59528/13-NCP/10-2016","Expansion of Apollo Hospital from 300 Beds to 350 Beds","APOLLO HOSPITAL BHUBANESWAR","EC Granted","EC",NA
"1465","SIA/OR/IND2/408307/2022","408307/18-IND2/12-2022","Production of 2.16 KLD Mahua Flower Based Out Still Liquor Shop manufacturing unit of M/s Main Out Still Liquor Shop, Papadahandi at/mouza/Tahasil- Papadahandi, Dist.- Nabarangapur of the Licensee Sri Nalanikanta Mohanty.","NALANIKANTA MOHANTY","EC Granted","EC",NA
"1466","SIA/OR/MIN/50553/2016","","Tangasole Stone Quarry","DILLIP KUMAR JENA","Delisted","EC",NA
"1467","SIA/OR/MIN/19524/2017","19524/1874-NCM/06-2017","Manikpur Mining Lease of M/s Manikeswari Minerals","MANIKESWARI MINERALS","Delisted","EC",NA
"1468","SIA/OR/MIN/37952/2016","SEIAA/37952/1065-NCM/01-2016","Khanjamahal Stone Quarry-69 Over lease area of 1.00 acre/0.405 ha located at Village- Khanjamahal, Tahasil- Soro, District- Balasore.","HEMANTA KUMAR MOHAPATRA","Delisted","EC",NA
"1469","SIA/OR/MIN/41125/2016","41125/1164-NCM/01-2016","PURUNAPANI STONE QUARRY NO-II","BIMAL KUMAR SWAIN","Delisted","EC",NA
"1470","SIA/OR/IND2/26192/2018","26192/430-IND2/05-2018","Dhanaghara O.S. Shop","SRI B MOHAN RAO","EC Granted","EC",NA
"1471","SIA/OR/MIN/63923/2021","63923/274-MINB1/07-2022","Padampuri Stone Quarry 2 over an area of 2.023 ha. bearing Khata no. 76, Plot no. 187, 227 in village- Padampuri, Tehsil &, District- Nuapada, State-Odisha submitted under cluster approach with total cluster area 11.33 ha with consisting of 5 stone quarries.","TAHSILDAR NUAPADA","EC Granted","EC",NA
"1472","SIA/OR/MIN/282992/2022","282992/342-MINB2/07-2022","Proposal for grant of Environmental Clearance for Gadiajore Stone Quarry I over an area of 12.30 Acres or 4.977 Hectares in village Gadiajore under Dharmagarh tahasil of Kalahandi district.","JIBAN PANDA","EC Granted","EC",NA
"1473","SIA/OR/MIN/253435/2022","253435/213-MINB2/01-2022","SUNDARADA BIRA CHAITANYAPUR RIVER SABD BED, OVER AN AREA OF 5.00 Ha.KHATA NO: 223, PLOT NO: 1059, AT: SUNDARADA BIRA CHAITANYAPUR, TAHASIL: CHIKITI, DIST: GANJAM, ODISHA OF TAHASILDAR CHIKITI.","TAHASILDAR CHIKITI","EC Granted","EC",NA
"1474","SIA/OR/MIN/273977/2022","273977/283-MINB2/05-2022","Tudipaju Sand Source over an area of 6.178 acre or 2.500 hectare in village Tudipaju under Khondamals Tahasil of Kandhamal District of Odisha.","DINAMANI NAIK","EC Granted","EC",NA
"1475","SIA/OR/IND/57093/2020","57093/15-IND/10-2020","Environmental Clearance for “Existing Sponge Iron plant of 100 TPD (2 X 50 TPD) sponge iron production along with 23 TPD Dolchar and 3 TPD ESP dust, with proposed change in product mix i.e. 64 TPD reduced Magnetite iron ore and 107 TPD reduced Manganese ore (along with dolchar) and 3 TPD ESP dust from the same kilns within the existing facility by change in raw material mix from iron ore to low grade Mn Ore associated with iron ore (25-30% Fe & 25-30% Mn) of M/s. Sumrit Metaliks Pvt. Ltd.","SUMRIT METALIKS PVT. LTD.","EC Granted","EC",NA
"1476","SIA/OR/MIN/236951/2021","236951/543-MINB2/02-2022","Kharasrota Nadi Sand Gobindpur to Juania","TAHASILDAR AUL","EC Granted","EC",NA
"1477","SIA/OR/MIN/85180/2018","","Bipulingi Stone Quarryover an area of 20.007 acres or 8.097 hectares in village Bipulingi, Tahasil- Chatrapur, District- Ganjam","SMT. G. GAYATRI REDDY","Delisted","EC",NA
"1478","SIA/OR/IND2/21813/2018","21813/123-IND2/01-2018","Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Patrapali Main Out Still Shop at Patrapali, Tehsil- Khaprakhol,  Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1479","SIA/OR/IND2/21692/2018","21692/91-IND2/01-2018","Proposed Production of 0.81 KLD Mahua Flower Based Country Liquor Manufacturing Unit, Khuntasamalai Main Out Still Shop at Khuntasamalai, Tehsil- Patnagarh,  Dist- Balangir","SANJAAY KUMAR SAHU","EC Granted","EC",NA
"1480","SIA/OR/MIS/36313/2018","36313/02-MIS-V/08-2019","Development Common Bio-Medical Waste Treatment Facility","MEDIAID","EC Granted","EC",NA
"1481","SIA/OR/MIN/242010/2021","242010/95-MINB2/12-2021","Panija Stone Quarry Over an area of 2.70 Acre or 1.093 Hectares in village Panija under Kuliana Tahasil of Mayurbhanj District of Odisha.","TAHASILDAR,KULIANA","EC Granted","EC",NA
"1482","SIA/OR/MIS/244531/2021","244531/66-MIS/01-2022","Proposed Residential Project over Revenue Plot No. 33(P) & 32(P) at Mouza Bidyadharpur under Sector-11, Cuttack Sadar, Odisha of M/s. River Front Developers Pvt. Ltd.","RIVER FRONT DEVELOPERS PRIVATE LIMITED","EC Granted","EC",NA
"1483","SIA/OR/MIN/76137/2020","76137/644-MINB1/04-2022","For the grant of EC of Sahanidiha Black Stone quarry No-03 (Cluster Serial No-8/2), (Khata No-384, Plot No-50(p)) over an area of 7.50 acres or  3.035 hacters in village Sahanidiha under Dharmasala Tahasil of Jajpur District, Odisha.","RAM NIWAS","EC Granted","EC",NA
"1484","SIA/OR/MIN/245878/2021","245878/139-MINB2/12-2021","Proposal for grant of Environmental Clearance of Kandheikela Stone Quarry over an area 2.54Acre or 1.027hectare in Kandheikela village of Lakhanpur Tahasil of Jharsuguda District, Odisha.","SATYENDRA CHANDRA","EC Granted","EC",NA
"1485","SIA/OR/MIN/227421/2021","227421/23-MINB2/09-2021","KALACHUA NEW BUILDING STONE QUARRY(NION) 33/18, DANGARAPADA","SHRI KAILASHA CHANDRA PARIJA","EC Granted","EC",NA
"1486","SIA/OR/MIN/60986/2021","60986/563-MINB1/02-2022","Tabadabahal Stone Quarry No-4/19Ac deposit over an area of 7.689ha located in village Tabadabahal, under Rengali Tahasil of Sambalpur District","SRI BALAJI ENGICONS PVT. LTD","EC Granted","EC",NA
"1487","SIA/OR/MIN/256465/2022","256465/575-MINB2/02-2022","Nuakhaman Stone Quarry over an area of 8.40 acres or 3.40 hectares in village Nuakhaman under Patna Tahasil of Keonjhar District of Odisha.","TAHASILDAR PATNA","EC Granted","EC",NA
"1488","SIA/OR/MIN/48694/2016","48694/1460-NCM/02-2016","Indagada Road Metal Quarry Over lease area of 1.986 acres or 0.803 ha located at Village- Indagada, Tahasil- Ghumsur(Bhanjanagar), District- Ganjam","BASANTA KUMAR BISOYI","Delisted","EC",NA
"1489","SIA/OR/MIN/80950/2018","","Chhuipali Sand Quarry","MS SHREE BALAJI ENGICONS PVT LTD","Delisted","EC",NA
"1490","SIA/OR/IND2/22570/2018","22570/266-IND2/03-2018","Kuchinda O.S. Shop","DINESH PR SAHU","EC Granted","EC",NA
"1491","SIA/OR/IND2/22636/2018","22636/259-IND2/03-2018","Nuadihi O.S. Shop","GOPALPRASAD","EC Granted","EC",NA
"1492","SIA/OR/MIN/403303/2022","","Jaypur-Baradihi Sand Bed, Over an area of 6.48 Acres or 2.622 hectares in village Jaypur & Baradihi under G.B.Nagar Tahasil of Mayurbhanj District of Odisha.","TAHASILDAR GOPABANDHU NAGAR","Pending at PP due to eds","EC",NA
"1493","SIA/OR/IND2/22461/2018","22461/220-IND2/03-2018","Jorabaga O.S. Shop","HEMANTA KUMAR SAHU","EC Granted","EC",NA
"1494","SIA/OR/MIN/42237/2016","42237/1269-NCM/01-2016","SOVAPUR STONE QUARRY","DINESH CHANDRA DAS","Delisted","EC",NA
"1495","SIA/OR/MIN/405306/2022","405306/320-MINB1/03-2023","Krushnandpur Paika Nadi Sand Sairat over an area of 12.65 acres or 5.12 hectare under Tirtol Tahasil of Jagatinghpur District","SRI DAMODAR MOHAPATRA","ADS by SEAC","EC",NA
"1496","SIA/OR/MIN/74627/2018","74627/1973-NCM/04-2018","DILKHUSPUR SAND QUARRY","UMESSH MAHAKUR","EC Granted","EC",NA
"1497","SIA/OR/NCP/83620/2018","83620/42-NCP/10-2018","SHANTI NAGAR AWAS YOJNA
Private Developer Project","M/S PARAMITRA SMART INFRA SNA PVT. LTD","EC Granted","EC",NA
"1498","SIA/OR/MIN/41211/2016","41211/1172-NCM/01-2016","CHARAMULA STONE QUARRY","G VENKAT RAO","Delisted","EC",NA
"1499","SIA/OR/MIN/35201/2015","SEIAA/35201/956-NCM/12-2015","SUKHUAPATA HILL STONE QUARRY NO. 3","DAMBARUDHAR NAYAK","Delisted","EC",NA
"1500","SIA/OR/MIN/64755/2017","64755/1856-NCM/05-2017","MURUSUAN STONE QUARRY","ASHOK KUMAR PRUSTY","EC Granted","EC",NA
"1501","SIA/OR/MIN/49142/2016","49142/1497-NCM/02-2016","NIMAPALLI STONE QUARRY","SANJAY KUMAR NAYAK","Delisted","EC",NA
"1502","SIA/OR/MIN/50059/2016","","BHALULATA STONE QUARRY","PRAMOD KUMAR HALWAI","Delisted","EC",NA
"1503","SIA/OR/IND2/26029/2018","26029/401-IND2/05-2018","Jamut O.S. Shop","BHOLANATH SAHOO","EC Granted","EC",NA
"1504","SIA/OR/MIN/39227/2016","SEIAA/39227/1108-NCM/01-2016","KERENDATANGI STONE QUARRY","BRAMHACHARI MAJHI","Delisted","EC",NA
"1505","SIA/OR/MIN/50018/2016","","DEOKUNDI STONE QUARRY","MANOJ KUMAR MOHANTY","Delisted","EC",NA
"1506","SIA/OR/MIN/404415/2022","","For the grant of EC of Kechhobahal Stone Quarry-B (Khata No-110, Plot No-944) over an area of 2.112 Ha. or 5.22 Acres at village Kechhobahal under Jharsuguda Tahasil of Jharsuguda district, Odisha.","BASANT HATI","Pending at PP due to eds","EC",NA
"1507","SIA/OR/IND2/28071/2018","28071/488-IND2/07-2018","Bideibadkudar O.S. Shop","RAJENDRA PRASAD JAISWAL","EC Granted","EC",NA
"1508","SIA/OR/IND2/22020/2018","22020/172-IND2/02-2018","3510 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED BELLAGUNTHA MAIN O.S. SHOP","NARAYAN SAHU","EC Granted","EC",NA
"1509","SIA/OR/IND2/19538/2016","19538/10-IND2/06-2017","Expansion of production capacity for caustic soda from 72,000 TPA to 105,000 TPA and consequently it's byproducts and value added derivatives","GRASIM INDUSTRIES LIMITED CHEMICAL DIVISION","EC Granted - Processed offline","EC",NA
"1510","SIA/OR/MIN/414395/2023","","Proposal for Fresh Environmental Clearance of Uchhabapalli Stone Quarry-2 over an area of 11.50 Acres or 4.65 Hectares in village Uchhabapalli under Loisingha tahasil of Balangir district.","TAHASILDAR LOISINGHA","Pending at PP due to eds","EC",NA
"1511","SIA/OR/MIN/60767/2016","60767/1751-NCM/11-2016","Totagumada River sand mines","SRI BALLA MOHAN RAO","Delisted","EC",NA
"1512","SIA/OR/MIN/75066/2018","75066/1985-NCM/05-2018","BAULASAHI SAND QUARRY","MAHESWAR  JENA","EC Granted","EC",NA
"1513","SIA/OR/MIN/42235/2016","42235/1268-NCM/01-2016","TIKHIA STONE QUARRY","DINESH CHANDRA DAS","Delisted","EC",NA
"1514","SIA/OR/IND2/21781/2018","21781/112-IND2/01-2018","1350 LITRES DAILY PRODUCTION CAPACITY MAHUA FLOWER BASED TULAPADA OS SHOP","DURGA PRASAD SAHU","EC Granted","EC",NA
"1515","SIA/OR/MIN/38264/2016","SEIAA/38264/1073-NCM/01-2016","Govindanagar Stone Quarry Over lease area of 31.017 acres/12.552 ha located at Village- Govindanagar, Tahasil- Chikiti, District- Ganjam.","SANJEEV KUMAR JHA","EC Granted","EC",NA
"1516","SIA/OR/IND2/28835/2018","28835/523-IND2/09-2018","Production of 0.540 KLD Mahua Flower Based country Liquor Manufacturing unit, Main Out Still Shop Gorla at Gorla, tehsil: Sinapali, District: Nuapada.","RAJESHKUMAR SAHU","EC Granted","EC",NA
